Expenditure_Category,Tenure,Year,Expenditure
Food and non-alcoholic drinks,Owners owned outright,2016,57
Food and non-alcoholic drinks,Owners buying with a mortage,2016,68.1
Food and non-alcoholic drinks,Social rented from council,2016,43.1
Food and non-alcoholic drinks,Social rented from registered social landlord,2016,49.2
Food and non-alcoholic drinks,Rent free,2016,48.8
Food and non-alcoholic drinks,Rent paid and unfurnished,2016,49.9
Food and non-alcoholic drinks,Rent paid and furnished,2016,42.5
Food and non-alcoholic drinks,Owners owned outright,2017,57.8
Food and non-alcoholic drinks,Owners buying with a mortage,2017,68.3
Food and non-alcoholic drinks,Social rented from council,2017,44.3
Food and non-alcoholic drinks,Social rented from registered social landlord,2017,46
Food and non-alcoholic drinks,Rent free,2017,44.3
Food and non-alcoholic drinks,Rent paid and unfurnished,2017,53.3
Food and non-alcoholic drinks,Rent paid and furnished,2017,46.6
Food and non-alcoholic drinks,Owners owned outright,2018,59.7
Food and non-alcoholic drinks,Owners buying with a mortage,2018,72.4
Food and non-alcoholic drinks,Social rented from council,2018,45.3
Food and non-alcoholic drinks,Social rented from registered social landlord,2018,47.4
Food and non-alcoholic drinks,Rent free,2018,59.1
Food and non-alcoholic drinks,Rent paid and unfurnished,2018,57.5
Food and non-alcoholic drinks,Rent paid and furnished,2018,54.8
Food and non-alcoholic drinks,Owners owned outright,2019,61.3
Food and non-alcoholic drinks,Owners buying with a mortage,2019,74.4
Food and non-alcoholic drinks,Social rented from council,2019,47.4
Food and non-alcoholic drinks,Social rented from registered social landlord,2019,49
Food and non-alcoholic drinks,Rent free,2019,46.6
Food and non-alcoholic drinks,Rent paid and unfurnished,2019,54.4
Food and non-alcoholic drinks,Rent paid and furnished,2019,57.7
Food and non-alcoholic drinks,Owners owned outright,2020,62.5
Food and non-alcoholic drinks,Owners buying with a mortage,2020,76.2
Food and non-alcoholic drinks,Social rented from council,2020,52.8
Food and non-alcoholic drinks,Social rented from registered social landlord,2020,48.2
Food and non-alcoholic drinks,Rent free,2020,55.9
Food and non-alcoholic drinks,Rent paid and unfurnished,2020,56.9
Food and non-alcoholic drinks,Rent paid and furnished,2020,56
"Alcoholic drinks, tobacco and narcotics",Owners owned outright,2016,11.4
"Alcoholic drinks, tobacco and narcotics",Owners buying with a mortage,2016,13.2
"Alcoholic drinks, tobacco and narcotics",Social rented from council,2016,9.9
"Alcoholic drinks, tobacco and narcotics",Social rented from registered social landlord,2016,9.7
"Alcoholic drinks, tobacco and narcotics",Rent free,2016,9.5
"Alcoholic drinks, tobacco and narcotics",Rent paid and unfurnished,2016,10.7
"Alcoholic drinks, tobacco and narcotics",Rent paid and furnished,2016,6
"Alcoholic drinks, tobacco and narcotics",Owners owned outright,2017,11
"Alcoholic drinks, tobacco and narcotics",Owners buying with a mortage,2017,13.7
"Alcoholic drinks, tobacco and narcotics",Social rented from council,2017,9.8
"Alcoholic drinks, tobacco and narcotics",Social rented from registered social landlord,2017,13.3
"Alcoholic drinks, tobacco and narcotics",Rent free,2017,7.6
"Alcoholic drinks, tobacco and narcotics",Rent paid and unfurnished,2017,11.8
"Alcoholic drinks, tobacco and narcotics",Rent paid and furnished,2017,8.3
"Alcoholic drinks, tobacco and narcotics",Owners owned outright,2018,12.4
"Alcoholic drinks, tobacco and narcotics",Owners buying with a mortage,2018,13.9
"Alcoholic drinks, tobacco and narcotics",Social rented from council,2018,11.2
"Alcoholic drinks, tobacco and narcotics",Social rented from registered social landlord,2018,10.8
"Alcoholic drinks, tobacco and narcotics",Rent free,2018,10.1
"Alcoholic drinks, tobacco and narcotics",Rent paid and unfurnished,2018,12.2
"Alcoholic drinks, tobacco and narcotics",Rent paid and furnished,2018,12.4
"Alcoholic drinks, tobacco and narcotics",Owners owned outright,2019,12.9
"Alcoholic drinks, tobacco and narcotics",Owners buying with a mortage,2019,14.3
"Alcoholic drinks, tobacco and narcotics",Social rented from council,2019,13.1
"Alcoholic drinks, tobacco and narcotics",Social rented from registered social landlord,2019,12
"Alcoholic drinks, tobacco and narcotics",Rent free,2019,10.6
"Alcoholic drinks, tobacco and narcotics",Rent paid and unfurnished,2019,11.1
"Alcoholic drinks, tobacco and narcotics",Rent paid and furnished,2019,12.3
"Alcoholic drinks, tobacco and narcotics",Owners owned outright,2020,12.7
"Alcoholic drinks, tobacco and narcotics",Owners buying with a mortage,2020,15.3
"Alcoholic drinks, tobacco and narcotics",Social rented from council,2020,11.7
"Alcoholic drinks, tobacco and narcotics",Social rented from registered social landlord,2020,9.7
"Alcoholic drinks, tobacco and narcotics",Rent free,2020,8.3
"Alcoholic drinks, tobacco and narcotics",Rent paid and unfurnished,2020,12.2
"Alcoholic drinks, tobacco and narcotics",Rent paid and furnished,2020,9.8
Clothing and footwear,Owners owned outright,2016,20.9
Clothing and footwear,Owners buying with a mortage,2016,33.5
Clothing and footwear,Social rented from council,2016,12.6
Clothing and footwear,Social rented from registered social landlord,2016,17.7
Clothing and footwear,Rent free,2016,15.1
Clothing and footwear,Rent paid and unfurnished,2016,19.8
Clothing and footwear,Rent paid and furnished,2016,20.7
Clothing and footwear,Owners owned outright,2017,22.7
Clothing and footwear,Owners buying with a mortage,2017,35.2
Clothing and footwear,Social rented from council,2017,14.1
Clothing and footwear,Social rented from registered social landlord,2017,13
Clothing and footwear,Rent free,2017,16.5
Clothing and footwear,Rent paid and unfurnished,2017,22.7
Clothing and footwear,Rent paid and furnished,2017,23.5
Clothing and footwear,Owners owned outright,2018,21.1
Clothing and footwear,Owners buying with a mortage,2018,35.5
Clothing and footwear,Social rented from council,2018,13.6
Clothing and footwear,Social rented from registered social landlord,2018,16.8
Clothing and footwear,Rent free,2018,16.1
Clothing and footwear,Rent paid and unfurnished,2018,20.8
Clothing and footwear,Rent paid and furnished,2018,27.2
Clothing and footwear,Owners owned outright,2019,22.3
Clothing and footwear,Owners buying with a mortage,2019,34
Clothing and footwear,Social rented from council,2019,17.3
Clothing and footwear,Social rented from registered social landlord,2019,14.2
Clothing and footwear,Rent free,2019,35.4
Clothing and footwear,Rent paid and unfurnished,2019,18.2
Clothing and footwear,Rent paid and furnished,2019,25.4
Clothing and footwear,Owners owned outright,2020,20.4
Clothing and footwear,Owners buying with a mortage,2020,33.5
Clothing and footwear,Social rented from council,2020,14.4
Clothing and footwear,Social rented from registered social landlord,2020,13.5
Clothing and footwear,Rent free,2020,14.1
Clothing and footwear,Rent paid and unfurnished,2020,20.2
Clothing and footwear,Rent paid and furnished,2020,22.6
Housing(net) fuel and power,Owners owned outright,2016,44.6
Housing(net) fuel and power,Owners buying with a mortage,2016,48.4
Housing(net) fuel and power,Social rented from council,2016,73.5
Housing(net) fuel and power,Social rented from registered social landlord,2016,81.9
Housing(net) fuel and power,Rent free,2016,26.2
Housing(net) fuel and power,Rent paid and unfurnished,2016,158.4
Housing(net) fuel and power,Rent paid and furnished,2016,197.5
Housing(net) fuel and power,Owners owned outright,2017,42.8
Housing(net) fuel and power,Owners buying with a mortage,2017,48.4
Housing(net) fuel and power,Social rented from council,2017,70.8
Housing(net) fuel and power,Social rented from registered social landlord,2017,85.6
Housing(net) fuel and power,Rent free,2017,31.3
Housing(net) fuel and power,Rent paid and unfurnished,2017,171.5
Housing(net) fuel and power,Rent paid and furnished,2017,225.3
Housing(net) fuel and power,Owners owned outright,2018,44.5
Housing(net) fuel and power,Owners buying with a mortage,2018,47.6
